이름,날짜,username,id,팔로우 수,팔로워 수,게시물 수,website,profile picture url,biography,fetch time,좋아요 수,댓글 수,순위,참여도,게시물 당 좋아요,게시물 당 댓글,팔로우 증감(수),팔로워 증감(수),게시물 증감(수),좋아요 증감(수),댓글 증감(수),순위 증감(수),참여도 증감(수),게시물 당 좋아요 증감(수),게시물 당 댓글 증감(수),팔로우 증감(%),팔로워 증감(%),게시물 증감(%),좋아요 증감(%),댓글 증감(%),순위 증감(%),참여도 증감(%),게시물 당 좋아요 증감(%),게시물 당 댓글 증감(%)
WSA와인아카데미,2022-09-27,wsa.wine.academy,17841403196274368,2578,4805,368,https://linktr.ee/wsawineacademy,https://scontent-ssn1-1.xx.fbcdn.net/v/t51.2885-15/82718695_3163285743736428_55089091201931293_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=86c713&_nc_ohc=qdYpNvca2ZwAX-Z2v_0&_nc_ht=scontent-ssn1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT8Htv7JS_QawkMbckBRUODsT7jHVSu5-N8UYRJnc6h16A&oe=63380659,"🍷국내 최초, 최대, 최고의 국제인증와인교육기관
🍷17년의 전통, 만 명의 동문
🍷수강일정 Linktree - WSET Schedule
🤘#매니져스타그램#문의사항 팔로우 후 !DM(아님못봐요🤣)",2022-09-27 14:51:36.124,6567,194,7,140.70759625390218,17.845108695652176,0.5271739130434783,,,,,,,,,,,,,,,,,,
after9,2022-09-27,after9nwine,17841416197245714,1,139,18,,https://scontent-ssn1-1.xx.fbcdn.net/v/t51.2885-15/284767247_682665059496055_7044693684830096392_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=86c713&_nc_ohc=zVSaygMJQu8AX-vNP_l&_nc_ht=scontent-ssn1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT8Ipx7j68yS7_26oqSxoPp8x9Ln1EXU2emURNXLI8GWWg&oe=6337A6A7,"wineshop&tastingroom
wine seminar",2022-09-27 14:51:36.124,468,7,14,341.72661870503595,26.0,0.3888888888888889,,,,,,,,,,,,,,,,,,
winebook_official,2022-09-27,winebook_official,17841447684956802,342,3740,490,http://www.winebook.co.kr/,https://scontent-ssn1-1.xx.fbcdn.net/v/t51.2885-15/204724489_155824759872357_7579385208215269792_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=86c713&_nc_ohc=5FY9FEdLAdAAX-82k48&_nc_ht=scontent-ssn1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT9TWZziU2-ytlTpzSSYKRv2FY_M7VLo4pXz6bzF__YBYg&oe=633719E5,"Winebook Club, Book Your Wine
테이스팅 신청하기
⬇️⬇️⬇️⬇️⬇️",2022-09-27 14:51:36.124,2981,347,9,88.98395721925134,6.083673469387755,0.7081632653061225,,,,,,,,,,,,,,,,,,
나라셀라 • NARA CELLAR,2022-09-27,naracellar,17841405690478812,102,9026,473,https://naracellar.com/,https://scontent-ssn1-1.xx.fbcdn.net/v/t51.2885-15/139566720_1507129532819956_3674880356484992410_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=86c713&_nc_ohc=UGXkQoV4gWEAX88grm-&_nc_ht=scontent-ssn1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT9Mm-Pzt5rF8R9s7VkPYOYlJg6N9vPmHs6gsE1jwCoCVA&oe=6337D34C,"와인 문화를 선도하는 기업, 나라셀라 공식 인스타그램 계정입니다",2022-09-27 14:51:36.124,2859,96,4,32.738754708619545,6.044397463002114,0.2029598308668076,,,,,,,,,,,,,,,,,,
와인21 @wine21.com,2022-09-27,wine21_korea,17841401765469832,3041,12036,924,https://linktr.ee/Wine21,https://scontent-ssn1-1.xx.fbcdn.net/v/t51.2885-15/249334667_585773885977785_3652660761559161739_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=86c713&_nc_ohc=Rh-yFemRJLUAX-Cdv-K&_nc_ht=scontent-ssn1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT-sSkhWqENzybCqx5fxKy_QM0FFjQse7wyPwHiqad4zmQ&oe=6338463A,,2022-09-27 14:51:36.124,6375,663,3,58.47457627118644,6.89935064935065,0.7175324675324676,,,,,,,,,,,,,,,,,,
와인비전 Winevision,2022-09-27,winevision,17841402382140592,1521,7688,2960,https://linktr.ee/winevision,https://scontent-ssn1-1.xx.fbcdn.net/v/t51.2885-15/211538249_1160785267774819_860451889963129583_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=86c713&_nc_ohc=prygqyUS0tUAX9SS-Ai&_nc_ht=scontent-ssn1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT-0SpOMUnjt6Z3Uwiu1dGWFcDSUNRu8T-lRwp_xQ6f0Ng&oe=6337A714,"#와인비전 #와인스타그램 #와인클래스 
🍷삶에 새로운 언어를 더하는 와인비전🍷
와인 교육, 와인 이벤트, 와인 시음회 정보 
↓↓↓아래 프로필 링크 클릭!",2022-09-27 14:51:36.124,1448,17,5,19.055671175858482,0.4891891891891892,0.0057432432432432436,,,,,,,,,,,,,,,,,,
주류학개론,2022-09-27,juryuhak,17841445525754876,0,15503,98,https://youtube.com/c/juryuhak,https://scontent-ssn1-1.xx.fbcdn.net/v/t51.2885-15/139639356_862042224608666_6413119311707306727_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=86c713&_nc_ohc=TOlZiopjl7gAX9xaWV0&_nc_ht=scontent-ssn1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT-EOs9wZ6etG8Qml_zli7uSJGGs7nfbmQEC0CDC9u7U4g&oe=633788FE,"유튜브 “주류학개론 - 재미있는 술의 비하인드 스토리”의 인스타그램 계정입니다.
👉🏻비지니스 문의 및 제안
drunkenman@tmcentkorea.co.kr",2022-09-27 14:51:36.124,11125,158,2,72.77946203960524,113.5204081632653,1.6122448979591837,,,,,,,,,,,,,,,,,,
달리 Dali 주류 스마트오더,2022-09-27,dali.official_,17841445511359388,2876,3468,216,https://www.daligo.co.kr/,https://scontent-ssn1-1.xx.fbcdn.net/v/t51.2885-15/271318169_492805755602922_4085816204680764690_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=86c713&_nc_ohc=4hMcqUM4nY0AX-rCbMD&_nc_ht=scontent-ssn1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT9aFPkP4iiKQIMb20FdImAyxDI0S1mTLL4LulQ8xXJO9A&oe=6338341A,"좋은 술, 어렵지 않아요.
남달리 유쾌한 어른들의 주류 앱, 달리 Dali
 
즐거운 행사가 가득한 달리에서 맛있는 술을 주문하고 싶다면👇",2022-09-27 14:51:36.124,2941,130,11,88.5524798154556,13.61574074074074,0.6018518518518519,,,,,,,,,,,,,,,,,,
루얼 잠실새내 와인샵&테이스팅룸,2022-09-27,luolle_jamsil,17841431842909760,1295,1658,317,http://linktr.ee/luolle_/,https://scontent-ssn1-1.xx.fbcdn.net/v/t51.2885-15/90323072_541470776499586_6037993242375487488_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=86c713&_nc_ohc=HgPRTQdsrWgAX9E1Vbz&_nc_ht=scontent-ssn1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT_DSKAUbRp_7FHLn1uvX1NhLCcOjVpU9X4E_dm3tceSHA&oe=63384460,"🍷직수입 와인판매 바틀샵&와인쇼핑몰,
🍷와인모임,공간대여,파티룸,모임대관,
      생일파티룸,브라이덜샤워
🍷예약,대관 문의 DM 및 카톡 @playleon
 ☎️02-3432-7787
송파구 잠실동 198-7 B1",2022-09-27 14:51:36.124,1832,19,13,111.64053075995174,5.779179810725552,0.05993690851735016,,,,,,,,,,,,,,,,,,
와인소셜,2022-09-27,winesocial_dosan,17841449777938336,2,5213,153,https://linktr.ee/winesocial_dosan,https://scontent-ssn1-1.xx.fbcdn.net/v/t51.2885-15/286409148_125916113235460_6740749973920539329_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=86c713&_nc_ohc=_jaXq6d_h0IAX_LnU3j&_nc_ht=scontent-ssn1-1.xx&edm=AL-3X8kEAAAA&oh=00_AT8eILKb_SZgpEiE7wqDwsPMk4kwsqj8s2j0N7MqYmWTug&oe=6337487A,"와인 문화공간, 와인소셜🍷
수-토 2pm-10pm 일요일 2pm- 9pm(월화 휴무)
예약하러가기 👇👇",2022-09-27 14:51:36.124,2067,84,6,41.26222904277767,13.509803921568627,0.5490196078431373,,,,,,,,,,,,,,,,,,
